"film_id","year","length","budget","votes","genre","rating"
5993,1943,65,15.5,42,"Action",7.6
37190,1961,87,12.3,6,"Drama",6
43646,1987,79,16.4,161,"Action",7.5
28476,1976,NA,12.2,5,"Documentary",8
23975,1982,88,12.5,97,"Action",3.5
50170,1936,NA,7,146,"Drama",4.4
56142,1932,75,12,14,"Drama",4.5
2287,1967,100,12.2,8,"Comedy",8.4
17822,1983,82,13.4,141,"Action",3.5
5935,2003,15,13.9,20,"Action",7.8
51700,1990,86,11.2,121,"Comedy",8.2
12781,1994,96,15.1,119,"Drama",2.9
42016,2004,150,11.7,5,"Action",4.9
17501,1983,86,9.9,14,"Action",3.9
520,1950,102,15.4,48,"Drama",2.6
50521,2002,78,11.2,1769,"Comedy",5.4
34430,1986,94,5.9,12,"Drama",4.9
9019,2001,114,13.7,2195,"Drama",3.8
29118,1961,112,10.8,174,"Action",4.5
1483,1967,92,15.3,6,"Comedy",8
7963,1999,23,13.1,13,"Short",7.9
34741,1940,8,7.8,41,"Animation",7.9
42665,1938,56,15.8,23,"Action",8.1
19225,1986,100,9.6,5,"Drama",5
18808,1972,72,8.4,7,"Drama",4.5
46723,1987,116,13.4,634,"Drama",2.8
12878,1999,89,10.7,16,"Action",4.9
34916,1994,154,15.5,5,"Action",2.9
36939,2002,104,11.2,164,"Drama",2.9
49638,1931,3,9.5,20,"Short",8.2
3629,1979,12,14.5,12,"Animation",7.4
54711,1999,6,11.4,15,"Animation",3.7
20581,1983,85,13.5,187,"Comedy",7.8
11548,1967,NA,18.4,13,"Comedy",8.1
36222,2002,90,13.8,15,"Action",3.6
57362,1986,98,9.9,543,"Action",4
55812,1961,110,13.4,36,"Drama",2.7
45521,1939,84,18.5,30,"Drama",3.2
47287,1932,90,11.1,10,"Comedy",7.5
38647,1984,90,10.7,5,"Action",4
4625,1989,201,10,9,"Action",2.3
45113,1956,16,7.1,35,"Comedy",8.4
29331,2001,113,12,177,"Drama",4.3
24268,1980,80,15.1,466,"Action",3.1
45756,1973,NA,12.3,28,"Action",4.4
57424,1997,117,17,11,"Documentary",7.8
75,1999,92,13.1,25,"Drama",4.1
39627,1967,13,12.2,111,"Documentary",9
20421,2001,25,11.7,5,"Animation",4
7481,2000,98,14.5,11784,"Comedy",8.2
13055,1999,64,17,7,"Documentary",8
32114,1972,93,11.6,66,"Drama",4.2
22759,2001,105,11.6,70,"Action",4.8
12915,1989,85,6.1,17,"Comedy",4.2
4888,1996,108,10.4,1444,"Drama",3.3
46302,1945,86,11.5,20,"Comedy",8.1
46088,2001,107,18.7,58,"Action",8.2
56572,1938,7,15.5,13,"Animation",7.8
3985,1937,19,10,61,"Comedy",8.5
49130,1978,102,12.4,90,"Drama",4.9
36215,1932,70,15.3,6,"Romance",3.7
13474,1999,94,13,137,"Comedy",8
22900,1937,11,14.8,15,"Short",7.7
46919,1984,101,17.8,20,"Drama",2.5
51191,1955,87,14,52,"Action",5.5
14242,1955,93,6.8,125,"Comedy",4.9
45024,1945,65,9.6,19,"Comedy",8
37128,1984,96,12.4,5,"Documentary",8.2
18856,1967,92,12.6,271,"Drama",3.5
23482,1995,97,13.8,59,"Drama",6.1
6258,1932,93,8.7,426,"Drama",6.8
24776,1989,5,9.4,43,"Animation",2.8
6390,1992,86,7.6,59,"Action",3.5
4610,1956,106,11.7,380,"Action",5.1
38200,1980,90,16.4,23,"Romance",5.1
53355,1921,26,10.2,11,"Short",7.1
26024,1990,NA,13.4,7,"Action",2.8
40103,1966,7,6.4,21,"Animation",2.5
1550,1993,93,14.1,72,"Drama",4.2
15663,1995,NA,14.2,107,"Action",2.6
37141,1988,153,11.3,27,"Drama",3.8
51442,1969,84,14.6,5,"Comedy",7.7
19000,1985,84,9.4,5,"Action",4.4
35257,2002,84,7.9,28,"Documentary",3.9
46840,1991,118,12.3,92060,"Action",3.6
